Ants,Iter,Max_Limit,Selected_Feats,Val_Acc,Test_Acc,Time
30,10,85,85,0.5908536585365853,0.5049808429118774,92.83146023750305
25,10,125,125,0.5768292682926829,0.48582375478927203,89.14443850517273
15,10,125,125,0.5762195121951219,0.4796934865900383,34.00174689292908
15,15,125,125,0.5762195121951219,0.4796934865900383,50.80404305458069
15,20,125,125,0.5762195121951219,0.4796934865900383,113.10601902008057
15,25,125,125,0.5762195121951219,0.4796934865900383,59.478315353393555
15,30,125,125,0.5762195121951219,0.4796934865900383,56.610506534576416
15,15,165,165,0.575,0.5272030651340996,51.562323808670044
15,20,165,165,0.575,0.5272030651340996,117.15024852752686
15,25,165,165,0.575,0.5272030651340996,70.88530230522156
15,30,165,165,0.575,0.5272030651340996,70.63148021697998
25,10,145,145,0.5676829268292682,0.5164750957854406,64.73753476142883
25,10,165,165,0.5664634146341463,0.5088122605363985,64.7741003036499
25,15,165,165,0.5664634146341463,0.5088122605363985,114.81121492385864
25,20,165,165,0.5664634146341463,0.5088122605363985,59.07144474983215
25,25,165,165,0.5664634146341463,0.5088122605363985,84.92808508872986
25,30,165,165,0.5664634146341463,0.5088122605363985,60.647276163101196
25,10,85,85,0.5603658536585366,0.4934865900383142,84.99800038337708
25,15,85,85,0.5603658536585366,0.4934865900383142,93.20716261863708
25,20,85,85,0.5603658536585366,0.4934865900383142,143.20349526405334
25,25,85,85,0.5603658536585366,0.4934865900383142,68.39036250114441
25,30,85,85,0.5603658536585366,0.4934865900383142,65.60381245613098
25,15,125,125,0.5597560975609757,0.48659003831417624,151.24459719657898
25,20,125,125,0.5597560975609757,0.48659003831417624,140.70030665397644
25,25,125,125,0.5597560975609757,0.48659003831417624,119.90458607673645
25,30,125,125,0.5597560975609757,0.48659003831417624,110.95497941970825
10,10,165,165,0.5591463414634147,0.524904214559387,25.072077751159668
10,15,165,165,0.5591463414634147,0.524904214559387,33.33896803855896
10,20,165,165,0.5591463414634147,0.524904214559387,35.026042461395264
10,25,165,165,0.5591463414634147,0.524904214559387,34.99181246757507
10,30,165,165,0.5591463414634147,0.524904214559387,32.53725862503052
30,20,145,145,0.5585365853658537,0.5072796934865901,161.12094831466675
30,25,145,145,0.5585365853658537,0.5072796934865901,206.92169284820557
30,30,145,145,0.5585365853658537,0.5072796934865901,170.95589327812195
10,10,145,145,0.5573170731707318,0.5226053639846743,23.872636079788208
10,15,145,145,0.5573170731707318,0.5226053639846743,33.97662901878357
10,20,145,145,0.5573170731707318,0.5226053639846743,35.101446866989136
10,25,145,145,0.5573170731707318,0.5226053639846743,33.86319446563721
10,30,145,145,0.5573170731707318,0.5226053639846743,33.60579228401184
20,10,105,105,0.5560975609756098,0.5088122605363985,44.2842321395874
20,15,105,105,0.5560975609756098,0.5088122605363985,53.076603174209595
20,20,105,105,0.5560975609756098,0.5088122605363985,45.99615240097046
20,25,105,105,0.5560975609756098,0.5088122605363985,46.12906074523926
20,30,105,105,0.5560975609756098,0.5088122605363985,60.95377969741821
20,10,145,145,0.5560975609756098,0.4812260536398467,48.04390025138855
30,15,165,165,0.5536585365853659,0.46283524904214557,120.878901720047
30,20,165,165,0.5536585365853659,0.46283524904214557,207.433189868927
30,25,165,165,0.5536585365853659,0.46283524904214557,142.6383454799652
30,30,165,165,0.5536585365853659,0.46283524904214557,129.5379490852356
20,10,189,181,0.5530487804878049,0.5226053639846743,55.524524211883545
20,15,189,181,0.5530487804878049,0.5226053639846743,72.57799506187439
20,20,189,181,0.5530487804878049,0.5226053639846743,76.98236274719238
20,25,189,181,0.5530487804878049,0.5226053639846743,91.37789797782898
20,30,189,181,0.5530487804878049,0.5226053639846743,101.41885137557983
15,10,145,145,0.550609756097561,0.481992337164751,34.75339603424072
15,15,145,145,0.550609756097561,0.481992337164751,47.994797468185425
15,20,145,145,0.550609756097561,0.481992337164751,58.73187518119812
15,25,145,145,0.550609756097561,0.481992337164751,49.64047360420227
15,30,145,145,0.550609756097561,0.481992337164751,50.15607523918152
30,15,85,85,0.5481707317073171,0.47126436781609193,135.06025624275208
30,20,85,85,0.5481707317073171,0.47126436781609193,175.20874762535095
30,25,85,85,0.5481707317073171,0.47126436781609193,149.0757565498352
30,30,85,85,0.5481707317073171,0.47126436781609193,174.63338613510132
30,10,105,105,0.5475609756097561,0.5072796934865901,92.24910044670105
30,15,105,105,0.5475609756097561,0.5072796934865901,89.33801007270813
30,20,105,105,0.5475609756097561,0.5072796934865901,66.5570957660675
30,25,105,105,0.5475609756097561,0.5072796934865901,73.75619006156921
30,30,105,105,0.5475609756097561,0.5072796934865901,112.5886857509613
10,10,85,85,0.5445121951219513,0.47432950191570883,23.698888778686523
10,15,85,85,0.5445121951219513,0.47432950191570883,33.6515679359436
10,20,85,85,0.5445121951219513,0.47432950191570883,35.25541949272156
10,25,85,85,0.5445121951219513,0.47432950191570883,37.03164505958557
10,30,85,85,0.5445121951219513,0.47432950191570883,37.00032615661621
30,10,145,145,0.5439024390243903,0.4950191570881226,99.13666844367981
30,15,145,145,0.5439024390243903,0.4950191570881226,140.29347229003906
30,10,165,165,0.5426829268292683,0.5103448275862069,103.90847826004028
25,15,145,145,0.5396341463414634,0.5042145593869731,158.1966426372528
25,20,145,145,0.5396341463414634,0.5042145593869731,126.1240725517273
25,25,145,145,0.5396341463414634,0.5042145593869731,128.4239363670349
25,30,145,145,0.5396341463414634,0.5042145593869731,116.76314544677734
10,25,125,125,0.5396341463414634,0.4674329501915709,57.6348922252655
10,30,125,125,0.5396341463414634,0.4674329501915709,62.31609559059143
30,10,189,170,0.5390243902439025,0.5264367816091954,124.69764018058777
30,15,189,170,0.5390243902439025,0.5264367816091954,69.06337714195251
30,20,189,170,0.5390243902439025,0.5264367816091954,103.54187226295471
30,25,189,170,0.5390243902439025,0.5264367816091954,70.49412870407104
30,30,189,170,0.5390243902439025,0.5264367816091954,71.73884105682373
20,10,85,85,0.5371951219512195,0.4934865900383142,44.915754318237305
20,15,85,85,0.5371951219512195,0.4934865900383142,49.30679965019226
20,20,85,85,0.5371951219512195,0.4934865900383142,49.90037512779236
20,25,85,85,0.5371951219512195,0.4934865900383142,49.68068170547485
20,30,85,85,0.5371951219512195,0.4934865900383142,65.38925886154175
20,15,165,165,0.5323170731707317,0.49272030651341,73.22013735771179
20,20,165,165,0.5323170731707317,0.49272030651341,96.46811509132385
20,25,165,165,0.5323170731707317,0.49272030651341,97.66487836837769
20,30,165,165,0.5323170731707317,0.49272030651341,135.92710280418396
10,20,125,125,0.5292682926829269,0.48659003831417624,49.294790506362915
10,10,105,105,0.526829268292683,0.481992337164751,22.395809173583984
10,15,105,105,0.526829268292683,0.481992337164751,22.632640600204468
10,20,105,105,0.526829268292683,0.481992337164751,20.95719885826111
10,25,105,105,0.526829268292683,0.481992337164751,22.01313352584839
10,30,105,105,0.526829268292683,0.481992337164751,21.242796182632446
15,10,85,85,0.525,0.5126436781609195,34.217071294784546
15,15,85,85,0.525,0.5126436781609195,39.89948105812073
15,20,85,85,0.525,0.5126436781609195,46.7624351978302
15,25,85,85,0.525,0.5126436781609195,45.06029033660889
15,30,85,85,0.525,0.5126436781609195,40.96480441093445
10,10,125,125,0.5237804878048781,0.5172413793103449,23.331120014190674
10,15,125,125,0.5237804878048781,0.5172413793103449,35.995418310165405
15,10,105,105,0.5225609756097561,0.5348659003831417,34.16034507751465
25,10,105,105,0.5213414634146342,0.5072796934865901,92.95218253135681
25,15,105,105,0.5213414634146342,0.5072796934865901,69.50931024551392
25,20,105,105,0.5213414634146342,0.5072796934865901,135.013689994812
25,25,105,105,0.5213414634146342,0.5072796934865901,66.65554618835449
25,30,105,105,0.5213414634146342,0.5072796934865901,63.267582178115845
10,10,189,170,0.5121951219512195,0.5049808429118774,25.205137729644775
10,15,189,170,0.5121951219512195,0.5049808429118774,34.998828649520874
10,20,189,170,0.5121951219512195,0.5049808429118774,38.16617274284363
10,25,189,170,0.5121951219512195,0.5049808429118774,37.69625544548035
10,30,189,170,0.5121951219512195,0.5049808429118774,37.47861313819885
15,10,189,170,0.5121951219512195,0.5049808429118774,35.21670055389404
15,15,189,170,0.5121951219512195,0.5049808429118774,45.429290771484375
15,20,189,170,0.5121951219512195,0.5049808429118774,48.84731984138489
15,25,189,170,0.5121951219512195,0.5049808429118774,46.44211030006409
15,30,189,170,0.5121951219512195,0.5049808429118774,46.099363803863525
20,15,145,145,0.5121951219512195,0.5019157088122606,73.95139360427856
20,20,145,145,0.5121951219512195,0.5019157088122606,94.70326471328735
20,10,125,125,0.5091463414634146,0.5302681992337165,44.588743686676025
20,15,125,125,0.5091463414634146,0.5302681992337165,57.36262536048889
20,20,125,125,0.5091463414634146,0.5302681992337165,56.630104780197144
20,25,125,125,0.5091463414634146,0.5302681992337165,56.299524784088135
20,30,125,125,0.5091463414634146,0.5302681992337165,80.59588146209717
20,10,165,165,0.5091463414634146,0.524904214559387,45.95556282997131
15,10,165,165,0.5036585365853659,0.48659003831417624,36.19451022148132
25,10,189,100,0.4951219512195122,0.5149425287356322,57.08357214927673
25,15,189,100,0.4951219512195122,0.5149425287356322,71.90124201774597
25,20,189,100,0.4951219512195122,0.5149425287356322,65.55060911178589
25,25,189,100,0.4951219512195122,0.5149425287356322,49.53794622421265
25,30,189,100,0.4951219512195122,0.5149425287356322,58.7045624256134
15,15,105,105,0.49329268292682926,0.49731800766283524,50.24458026885986
15,20,105,105,0.49329268292682926,0.49731800766283524,73.50773429870605
15,25,105,105,0.49329268292682926,0.49731800766283524,93.72962236404419
15,30,105,105,0.49329268292682926,0.49731800766283524,64.48137593269348
30,10,125,125,0.4689024390243902,0.47509578544061304,70.6277859210968
30,15,125,125,0.4689024390243902,0.47509578544061304,122.10774660110474
30,20,125,125,0.4689024390243902,0.47509578544061304,133.74174284934998
30,25,125,125,0.4689024390243902,0.47509578544061304,116.53019261360168
30,30,125,125,0.4689024390243902,0.47509578544061304,107.3891954421997
20,25,145,145,0.4658536585365854,0.5371647509578544,117.02252316474915
20,30,145,145,0.4658536585365854,0.5371647509578544,186.051988363266
